ID,GeneAssociation,Fullname,Reaction,LowBound,UpBound
R_TAUDO, b0368, "Taurine dioxygenase", M_akg_c + M_o2_c + M_taur_c -> M_aacald_c + M_co2_c + M_h_c + M_so3_c + M_succ_c, 0.0, 999999.0
R_TMK, , "Thiamine kinase", M_atp_c + M_thm_c <-> M_adp_c + M_h_c + M_thmmp_c, -999999.0, 999999.0
R_HSDy, (b3940 | b0002), "Homoserine dehydrogenase (NADPH)", M_hom__L_c + M_nadp_c <-> M_aspsa_c + M_h_c + M_nadph_c, -999999.0, 999999.0
R_RMPA, b3902, "Rhamnulose-1-phosphate aldolase", M_rml1p_c <-> M_dhap_c + M_lald__L_c, -999999.0, 999999.0
R_CAT, (b1732 | b3942), "Catalase", 2.0 M_h2o2_c -> 2.0 M_h2o_c + M_o2_c, 0.0, 999999.0
R_GTHS, b2947, "Glutathione synthetase", M_atp_c + M_glucys_c + M_gly_c -> M_adp_c + M_gthrd_c + M_h_c + M_pi_c, 0.0, 999999.0
R_IPDDI, b2889, "Isopentenyl-diphosphate D-isomerase", M_ipdp_c -> M_dmpp_c, 0.0, 999999.0
R_MAN6PI, b1613, "Mannose-6-phosphate isomerase", M_man6p_c <-> M_f6p_c, -999999.0, 999999.0
R_G3PD6, (b2242 & b2241 & b2243), "Glycerol-3-phosphate dehydrogenase (menaquinone-8)", M_glyc3p_c + M_mqn8_c -> M_dhap_c + M_mql8_c, 0.0, 999999.0
R_TDPDRE, b2038, "DTDP-4-dehydrorhamnose 3,5-epimerase", M_dtdp4d6dg_c -> M_dtdp4d6dm_c, 0.0, 999999.0
R_MALTTTRabc, (b4035 & b4032 & b4033 & b4036 & b4034), "Maltotetraose transport via ABC system", M_atp_c + M_h2o_c + M_maltttr_e -> M_adp_c + M_h_c + M_maltttr_c + M_pi_c, 0.0, 999999.0
R_PPM2, b4383, "Phosphopentomutase 2 (deoxyribose)", M_2dr1p_c <-> M_2dr5p_c, -999999.0, 999999.0
R_EX_ptrc_e, , "Putrescine exchange", M_ptrc_e <-> M_ptrc_b, -999999.0, 999999.0
R_EX_alltn_e, , "Allantoin exchange", M_alltn_e <-> M_alltn_b, -999999.0, 999999.0
R_GLYCTO2, (b2979 & b2978), "Glycolate oxidase", M_glyclt_c + M_q8_c -> M_glx_c + M_q8h2_c, 0.0, 999999.0
R_GLYCTO4, (b2979 & b2978), "Glycolate oxidase", M_2dmmq8_c + M_glyclt_c -> M_2dmmql8_c + M_glx_c, 0.0, 999999.0
R_FRUK, b2168, "Fructose-1-phosphate kinase", M_atp_c + M_f1p_c -> M_adp_c + M_fdp_c + M_h_c, 0.0, 999999.0
R_MCITD, b0334, "2-methylcitrate dehydratase", M_2mcit_c -> M_2mcacn_c + M_h2o_c, 0.0, 999999.0
R_4HTHRS, b0004, "4-Hydroxy-L-threonine synthase", M_h2o_c + M_phthr_c -> M_4hthr_c + M_pi_c, 0.0, 999999.0
R_EX_acnam_e, , "N-Acetylneuraminate exchange", M_acnam_e <-> M_acnam_b, -999999.0, 999999.0
R_SUCCabc, b3579, "Succinate transport via ABC system", M_atp_c + M_h2o_c + M_succ_e -> M_adp_c + M_h_c + M_pi_c + M_succ_c, 0.0, 999999.0
R_DNTPPA, (b0099 | b1865), "Dihydroneopterin triphosphate pyrophosphatase", M_ahdt_c + M_h2o_c -> M_dhpmp_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_EX_galct__D_e, , "D-Galactarate exchange", M_galct__D_e <-> M_galct__D_b, -999999.0, 999999.0
R_C181SN, (b2323 & b0180 & b0954 & b1095 & b1093 & b1288), "Fatty acid biosynthesis (n-C18:1)", M_actACP_c + 22.0 M_h_c + 7.0 M_malACP_c + 15.0 M_nadph_c -> 7.0 M_ACP_c + 7.0 M_co2_c + 8.0 M_h2o_c + 15.0 M_nadp_c + M_octeACP_c, 0.0, 999999.0
R_EDTXS4, b1855, "Endotoxin Synthesis (myristoyl transferase)", M_kdo2lipid4p_c + M_myrsACP_c -> M_ACP_c + M_lipa_cold_c, 0.0, 999999.0
R_NTD2, b0480, "5'-nucleotidase (UMP)", M_h2o_c + M_ump_c -> M_pi_c + M_uri_c, 0.0, 999999.0
R_AB6PGH, b2901, "Arbutin 6-phosphate glucohydrolase", M_arbt6p_c + M_h2o_c -> M_g6p_c + M_hqn_c, 0.0, 999999.0
R_ABUTD, , "Aminobutyraldehyde dehydrogenase", M_4abutn_c + M_h2o_c + M_nad_c -> M_4abut_c + 2.0 M_h_c + M_nadh_c, 0.0, 999999.0
R_ADCL, b1096, "4-aminobenzoate synthase", M_4adcho_c -> M_4abz_c + M_h_c + M_pyr_c, 0.0, 999999.0
R_BPNT, , "3',5'-bisphosphate nucleotidase", M_h2o_c + M_pap_c -> M_amp_c + M_pi_c, 0.0, 999999.0
R_NDPK8, b2518, "Nucleoside-diphosphate kinase (ATP:dADP)", M_atp_c + M_dadp_c <-> M_adp_c + M_datp_c, -999999.0, 999999.0
R_UACMAMO, b3787, "UDP-N-acetyl-D-mannosamine oxidoreductase", M_h2o_c + 2.0 M_nad_c + M_uacmam_c -> 3.0 M_h_c + 2.0 M_nadh_c + M_uacmamu_c, 0.0, 999999.0
R_NADDP, b2411, "NAD diphosphatase", M_h2o_c + M_nad_c -> M_amp_c + 2.0 M_h_c + M_nmn_c, 0.0, 999999.0
R_XPPT, b0238, "Xanthine phosphoribosyltransferase", M_prpp_c + M_xan_c -> M_ppi_c + M_xmp_c, 0.0, 999999.0
R_ACKr, (b2296 | b3115 | b1849), "Acetate kinase", M_ac_c + M_atp_c <-> M_actp_c + M_adp_c, -999999.0, 999999.0
R_NDPK6, b2518, "Nucleoside-diphosphate kinase (ATP:dUDP)", M_atp_c + M_dudp_c <-> M_adp_c + M_dutp_c, -999999.0, 999999.0
R_DMSOR2, (b0894 & b0896 & b0895), "Dimethyl sulfoxide reductase (Demethylmenaquinol 8)", M_2dmmql8_c + M_dmso_c -> M_2dmmq8_c + M_dms_c + M_h2o_c, 0.0, 999999.0
R_UPPDC1, b3997, "Uroporphyrinogen decarboxylase (uroporphyrinogen III)", 4.0 M_h_c + M_uppg3_c -> 4.0 M_co2_c + M_cpppg3_c, 0.0, 999999.0
R_DAAD, b1189, "D-Amino acid dehydrogenase", M_ala__D_c + M_fad_c + M_h2o_c -> M_fadh2_c + M_nh4_c + M_pyr_c, 0.0, 999999.0
R_FDH3, ((b3892 & b3894 & b3893) | (b1476 & b1474 & b1475)), "Formate Dehydrogenase (menaquinone-8: 2 protons)", M_for_c + 3.0 M_h_c + M_mqn8_c -> M_co2_c + 2.0 M_h_e + M_mql8_c, 0.0, 999999.0
R_DHAt, , "Dihydroxyacetone transport via facilitated diffusion", M_dha_e <-> M_dha_c, -999999.0, 999999.0
R_EX_ser__L_e, , "L-Serine exchange", M_ser__L_e <-> M_ser__L_b, -999999.0, 999999.0
R_NAt3_15, b1186, "Sodium proton antiporter (H:NA is 1.5)", 3.0 M_h_e + 2.0 M_na1_c -> 3.0 M_h_c + 2.0 M_na1_e, 0.0, 999999.0
R_ARBabc, (b1900 & (b1898 & b1899) & b1901), "L-arabinose transport via ABC system", M_arab__L_e + M_atp_c + M_h2o_c -> M_adp_c + M_arab__L_c + M_h_c + M_pi_c, 0.0, 999999.0
R_DHORD2, b0945, "Dihydoorotic acid dehydrogenase (quinone8)", M_dhor__S_c + M_q8_c -> M_orot_c + M_q8h2_c, 0.0, 999999.0
R_ASPt2_3, (b4123 | b4138), "L-asparate transport via proton symport (3 H)", M_asp__L_e + 3.0 M_h_e -> M_asp__L_c + 3.0 M_h_c, 0.0, 999999.0
R_GLYCL, (b0116 & b2903 & b2905 & b2904), "Glycine Cleavage System", M_gly_c + M_nad_c + M_thf_c -> M_co2_c + M_mlthf_c + M_nadh_c + M_nh4_c, 0.0, 999999.0
R_EX_pnto__R_e, , "(R)-Pantothenate exchange", M_pnto__R_e <-> M_pnto__R_b, -999999.0, 999999.0
R_GSPMDS, b2988, "Glutathionylspermidine synthetase", M_atp_c + M_gthrd_c + M_spmd_c -> M_adp_c + M_gtspmd_c + M_h_c + M_pi_c, 0.0, 999999.0
R_METAT, b2942, "Methionine adenosyltransferase", M_atp_c + M_h2o_c + M_met__L_c -> M_amet_c + M_pi_c + M_ppi_c, 0.0, 999999.0
R_MTHFR2_1, b3941, "5,10-methylenetetrahydrofolate reductase (NADH)", M_h_c + M_mlthf_c + M_nadh_c -> M_5mthf_c + M_nad_c, 0.0, 999999.0
R_NDPK3, b2518, "Nucleoside-diphosphate kinase (ATP:CDP)", M_atp_c + M_cdp_c <-> M_adp_c + M_ctp_c, -999999.0, 999999.0
R_TMAOR1e, ((b0996 & b0997) | (b1873 & b1872)), "Trimethylamine N-oxide reductase (menaquinol 8)", M_h_e + M_mql8_c + M_tmao_e -> M_h2o_e + M_mqn8_c + M_tma_e, 0.0, 999999.0
R_EX_man_e, , "D-Mannose exchange", M_man_e <-> M_man_b, -999999.0, 999999.0
R_THRD, b3616, "L-threonine dehydrogenase", M_nad_c + M_thr__L_c -> M_2aobut_c + M_h_c + M_nadh_c, 0.0, 999999.0
R_SUCBZS, b2261, "O-succinylbenzoate-CoA synthase", M_2shchc_c -> M_h2o_c + M_sucbz_c, 0.0, 999999.0
R_NTPP1, (b0099 | b2781), "Nucleoside triphosphate pyrophosphorylase (dgtp)", M_dgtp_c + M_h2o_c -> M_dgmp_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_AHCYSNS, b0159, "S-adenosylhomocysteine nucleosidase", M_ahcys_c + M_h2o_c -> M_ade_c + M_rhcys_c, 0.0, 999999.0
R_ORPT, b3642, "Orotate phosphoribosyltransferase", M_orot5p_c + M_ppi_c <-> M_orot_c + M_prpp_c, -999999.0, 999999.0
R_GDMANE, b2052, "GDP-4-dehydro-6-deoxy-D-mannose epimerase", M_gdpddman_c -> M_gdpofuc_c, 0.0, 999999.0
R_ATPPRT, b2019, "ATP phosphoribosyltransferase", M_atp_c + M_prpp_c -> M_ppi_c + M_prbatp_c, 0.0, 999999.0
R_DALAt2r, b4208, "D-alanine transport via proton symport", M_ala__D_e + M_h_e <-> M_ala__D_c + M_h_c, -999999.0, 999999.0
R_GLUR, b3967, "Glutamate racemase", M_glu__D_c <-> M_glu__L_c, -999999.0, 999999.0
R_PGMT, (b0688 | b2690), "Phosphoglucomutase", M_g1p_c <-> M_g6p_c, -999999.0, 999999.0
R_DHDPRy, b0031, "Dihydrodipicolinate reductase (NADPH)", M_23dhdp_c + M_h_c + M_nadph_c -> M_nadp_c + M_thdp_c, 0.0, 999999.0
R_EX_ala__L_e, , "L-Alanine exchange", M_ala__L_e <-> M_ala__L_b, -999999.0, 999999.0
R_POX, b0871, "Pyruvate oxidase", M_h2o_c + M_pyr_c + M_q8_c -> M_ac_c + M_co2_c + M_q8h2_c, 0.0, 999999.0
R_HMPK1, (b2103 | b2418), "Hydroxymethylpyrimidine kinase (ATP)", M_4ahmmp_c + M_atp_c -> M_4ampm_c + M_adp_c + M_h_c, 0.0, 999999.0
R_EX_lac__L_e, , "L-Lactate exchange", M_lac__L_e <-> M_lac__L_b, -999999.0, 999999.0
R_PRAMPC, b2026, "Phosphoribosyl-AMP cyclohydrolase", M_h2o_c + M_prbamp_c -> M_prfp_c, 0.0, 999999.0
R_ACACt2, b2223, "Acetoacetate transport via proton symport", M_acac_e + M_h_e <-> M_acac_c + M_h_c, -999999.0, 999999.0
R_RNDR3, ((b2234 & b2235) | (b2675 & b2676)), "Ribonucleoside-diphosphate reductase (CDP)", M_cdp_c + M_trdrd_c -> M_dcdp_c + M_h2o_c + M_trdox_c, 0.0, 999999.0
R_MLTP2, b3417, "Maltodextrin phosphorylase (maltohexaose)", M_malthx_c + M_pi_c <-> M_g1p_c + M_maltpt_c, -999999.0, 999999.0
R_DCYTt2, (b2964 | b2393), "Deoxycytidine transport in via proton symport", M_dcyt_e + M_h_e -> M_dcyt_c + M_h_c, 0.0, 999999.0
R_MDH, b3236, "Malate dehydrogenase", M_mal__L_c + M_nad_c <-> M_h_c + M_nadh_c + M_oaa_c, -999999.0, 999999.0
R_NMNt7, , "NMN transport via NMN glycohydrolase", M_h2o_c + M_nmn_e -> M_h_c + M_ncam_c + M_r5p_c, 0.0, 999999.0
R_GLNabc, (b0810 & b0811 & b0809), "L-glutamine transport via ABC system", M_atp_c + M_gln__L_e + M_h2o_c -> M_adp_c + M_gln__L_c + M_h_c + M_pi_c, 0.0, 999999.0
R_LPLIPA4, b3825, "Lysophospholipase L (acyl transfer to phosphatidylglycerol)", 0.02 M_agpe_EC_c + 0.02 M_pg_EC_c -> 0.02 M_apg_EC_c + M_g3pe_c, 0.0, 999999.0
R_2DGULRy, b3553, "2-dehydro-L-gulonate reductase (NADPH)", M_2dhguln_c + M_h_c + M_nadph_c -> M_idon__L_c + M_nadp_c, 0.0, 999999.0
R_HBZOPT, b4040, "Hydroxybenzoate octaprenyltransferase", M_4hbz_c + M_octdp_c -> M_3ophb_c + M_ppi_c, 0.0, 999999.0
R_NTPP7, b2781, "Nucleoside triphosphate pyrophosphorylase (dttp)", M_dttp_c + M_h2o_c -> M_dtmp_c + M_h_c + M_ppi_c, 0.0, 999999.0
R_AMPN, b1982, "AMP nucleosidase", M_amp_c + M_h2o_c -> M_ade_c + M_r5p_c, 0.0, 999999.0
R_FBP, b4232, "Fructose-bisphosphatase", M_fdp_c + M_h2o_c -> M_f6p_c + M_pi_c, 0.0, 999999.0
R_NO3t7, (b1223 | b1469), "Nitrate transport in via nitrite antiport", M_no2_c + M_no3_e -> M_no2_e + M_no3_c, 0.0, 999999.0
R_RNDR1, (b2234 & b2235), "Ribonucleoside-diphosphate reductase (ADP)", M_adp_c + M_trdrd_c -> M_dadp_c + M_h2o_c + M_trdox_c, 0.0, 999999.0
R_HPYRRy, (b1033 | b3553), "Hydroxypyruvate reductase (NADPH)", M_h_c + M_hpyr_c + M_nadph_c -> M_glyc__R_c + M_nadp_c, 0.0, 999999.0
R_DASYN_EC, b0175, "CDP-Diacylglycerol synthetase (Ecoli)", M_ctp_c + M_h_c + 0.02 M_pa_EC_c <-> 0.02 M_cdpdag_EC_c + M_ppi_c, -999999.0, 999999.0
R_INSK, b0477, "Insosine kinase", M_atp_c + M_ins_c -> M_adp_c + M_h_c + M_imp_c, 0.0, 999999.0
R_DKGLCNR2y, b3553, "2,5-diketo-D-gluconate reductase (NADPH)", M_25dkglcn_c + M_h_c + M_nadph_c -> M_5dglcn_c + M_nadp_c, 0.0, 999999.0
R_MALTabc, (b4035 & b4032 & b4033 & b4036 & b4034), "Maltose transport via ABC system", M_atp_c + M_h2o_c + M_malt_e -> M_adp_c + M_h_c + M_malt_c + M_pi_c, 0.0, 999999.0
R_UPP3MT, (b3803 | b3368), "Uroporphyrinogen methyltransferase", 2.0 M_amet_c + M_uppg3_c -> 2.0 M_ahcys_c + M_dscl_c + M_h_c, 0.0, 999999.0
R_EX_xtsn_e, , "Xanthosine exchange", M_xtsn_e <-> M_xtsn_b, -999999.0, 999999.0
R_PRFGS, b2557, "Phosphoribosylformylglycinamidine synthase", M_atp_c + M_fgam_c + M_gln__L_c + M_h2o_c -> M_adp_c + M_fpram_c + M_glu__L_c + M_h_c + M_pi_c, 0.0, 999999.0
R_IG3PS, (b2023 & b2025), "Imidazole-glycerol-3-phosphate synthase", M_gln__L_c + M_prlp_c -> M_aicar_c + M_eig3p_c + M_glu__L_c + M_h_c, 0.0, 999999.0
R_ALTRH, b3091, "Altronate hydrolase", M_altrn_c -> M_2ddglcn_c + M_h2o_c, 0.0, 999999.0
R_UAMAGS, b0088, "UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase", M_atp_c + M_glu__D_c + M_uama_c -> M_adp_c + M_h_c + M_pi_c + M_uamag_c, 0.0, 999999.0
R_P5CD, b1014, "1-pyrroline-5-carboxylate dehydrogenase", M_1pyr5c_c + 2.0 M_h2o_c + M_nad_c -> M_glu__L_c + M_h_c + M_nadh_c, 0.0, 999999.0
R_HXPRT, (b0238 | b0125), "Hypoxanthine phosphoribosyltransferase (Hypoxanthine)", M_hxan_c + M_prpp_c -> M_imp_c + M_ppi_c, 0.0, 999999.0
R_AADDGT, b3793, "DTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase", M_dtdp4aaddg_c + M_unagamu_c -> M_dtdp_c + M_h_c + M_unagamuf_c, 0.0, 999999.0
R_PPPGO, b3850, "Protoporphyrinogen oxidase (aerobic)", 1.5 M_o2_c + M_pppg9_c -> 3.0 M_h2o_c + M_ppp9_c, 0.0, 999999.0
R_ACNAMt2, b3224, "N-acetylneuraminate proton symport", M_acnam_e + M_h_e -> M_acnam_c + M_h_c, 0.0, 999999.0
R_DSERt2, b4208, "D-serine transport via proton symport", M_h_e + M_ser__D_e <-> M_h_c + M_ser__D_c, -999999.0, 999999.0
R_GLCRD, (b2787 | b2788), "Glucarate dehydratase", M_glcr_c -> M_5dh4dglc_c + M_h2o_c, 0.0, 999999.0
R_C160SN, ((b0180 & b1095 & b1288 & b1093) | (b2323 & b0180 & b1288 & b1093) | (b2323 & b0954 & b1288 & b1093) | (b0954 & b1095 & b1288 & b1093)), "Fatty acid biosynthesis (n-C16:0)", M_actACP_c + 20.0 M_h_c + 6.0 M_malACP_c + 14.0 M_nadph_c -> 6.0 M_ACP_c + 6.0 M_co2_c + 7.0 M_h2o_c + 14.0 M_nadp_c + M_palmACP_c, 0.0, 999999.0
R_D_LACt2, (b2975 | b3603), "D lactate transport via proton symport", M_h_e + M_lac__D_e <-> M_h_c + M_lac__D_c, -999999.0, 999999.0
R_MTRK, , "5-methylthioribose kinase", M_5mtr_c + M_atp_c -> M_5mdr1p_c + M_adp_c + M_h_c, 0.0, 999999.0
R_UDCPDPS, b0174, "Undecaprenyl diphosphate synthase", M_frdp_c + 8.0 M_ipdp_c -> 8.0 M_ppi_c + M_udcpdp_c, 0.0, 999999.0
R_ALLTNt2r, b0511, "Allantoin transport in via proton symport", M_alltn_e + M_h_e <-> M_alltn_c + M_h_c, -999999.0, 999999.0
R_MECDPDH, b2515, "2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase", M_2mecdp_c + M_h_c -> M_h2mb4p_c + M_h2o_c, 0.0, 999999.0
R_ALLTN, b0512, "Allantoinase", M_alltn_c + M_h2o_c -> M_alltt_c + M_h_c, 0.0, 999999.0
R_GLCNt2r, (b4265 | b3415 | b4321), "D-gluconate transport via proton symport, reversible", M_glcn_e + M_h_e <-> M_glcn_c + M_h_c, -999999.0, 999999.0
R_OCBT, (b4254 | b0273), "Ornithine carbamoyltransferase", M_cbp_c + M_orn_c <-> M_citr__L_c + M_h_c + M_pi_c, -999999.0, 999999.0
R_PYDXNK, b2418, "Pyridoxine kinase", M_atp_c + M_pydxn_c -> M_adp_c + M_h_c + M_pdx5p_c, 0.0, 999999.0
R_AACPS5, b2836, "Acyl-[acyl-carrier-protein] synthetase  (n-C18:1)", M_ACP_c + M_atp_c + M_ocdcea_c -> M_amp_c + M_octeACP_c + M_ppi_c, 0.0, 999999.0
R_ASPT, b4139, "L-aspartase", M_asp__L_c -> M_fum_c + M_nh4_c, 0.0, 999999.0
R_NADH8, (b2285 & b2284 & b2281 & b2287 & b2276 & b2283 & b2288 & b2282 & b2286 & b2277 & b2278 & b2280 & b2279), "NADH dehydrogenase (demethylmenaquinone-8 & 2.8 protons)", M_2dmmq8_c + 3.8 M_h_c + M_nadh_c -> M_2dmmql8_c + 2.8 M_h_e + M_nad_c, 0.0, 999999.0
R_UDPGALM, b2036, "UDPgalactopyranose mutase", M_udpgal_c -> M_udpgalfur_c, 0.0, 999999.0
R_ACNML, b3225, "N-Acetylneuraminate lyase", M_acnam_c -> M_acmana_c + M_pyr_c, 0.0, 999999.0
R_2DGULRx, b3553, "2-dehydro-L-gulonate reductase (NADH)", M_2dhguln_c + M_h_c + M_nadh_c -> M_idon__L_c + M_nad_c, 0.0, 999999.0
R_PGI, b4025, "Glucose-6-phosphate isomerase", M_g6p_c <-> M_f6p_c, -999999.0, 999999.0
R_ACOATA, b1091, "Acetyl-CoA ACP transacylase", M_ACP_c + M_accoa_c <-> M_acACP_c + M_coa_c, -999999.0, 999999.0
R_EX_galctn__D_e, , "D-Galactonate exchange", M_galctn__D_e <-> M_galctn__D_b, -999999.0, 999999.0
R_NTD3, b0480, "5'-nucleotidase (dCMP)", M_dcmp_c + M_h2o_c -> M_dcyt_c + M_pi_c, 0.0, 999999.0
R_FORt, (b2492 | b0904), "Formate transport via diffusion", M_for_e <-> M_for_c, -999999.0, 999999.0
R_GLYCLTDx, (b3553 | b1033), "Glycolate dehydrogenase (NAD)", M_glx_c + M_h_c + M_nadh_c -> M_glyclt_c + M_nad_c, 0.0, 999999.0
R_ASPO6_1, b2574, "L-aspartate oxidase", M_asp__L_c + M_o2_c -> M_h2o2_c + M_iasp_c, 0.0, 999999.0
R_PNTK, b3974, "Pantothenate kinase", M_atp_c + M_pnto__R_c -> M_4ppan_c + M_adp_c + M_h_c, 0.0, 999999.0
R_TYRTA, (b4054 | b0928), "Tyrosine transaminase", M_akg_c + M_tyr__L_c <-> M_34hpp_c + M_glu__L_c, -999999.0, 999999.0
R_NACODA, b3957, "N-acetylornithine deacetylase", M_acg5sa_c + M_h2o_c -> M_ac_c + M_glu5sa_c, 0.0, 999999.0
R_SBTPD, b2705, "Sorbitol-6-phosphate dehydrogenase", M_nad_c + M_sbt6p_c <-> M_f6p_c + M_h_c + M_nadh_c, -999999.0, 999999.0
R_GLCRAL, b3126, "5-dehydro-4-deoxyglucarate aldolase", M_5dh4dglc_c -> M_2h3oppan_c + M_pyr_c, 0.0, 999999.0
R_UAAGDS, b0085, "UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase", M_26dap__M_c + M_atp_c + M_uamag_c -> M_adp_c + M_h_c + M_pi_c + M_ugmd_c, 0.0, 999999.0
R_FRUpts2, (b2415 & b2416 & b1818 & b1819 & b1817), "Fructose transport via PEP:Pyr PTS (f6p generating)", M_fru_e + M_pep_c -> M_f6p_c + M_pyr_c, 0.0, 999999.0
R_PYAM5PO, b1638, "Pyridoxamine 5'-phosphate oxidase", M_h2o_c + M_o2_c + M_pyam5p_c -> M_h2o2_c + M_nh4_c + M_pydx5p_c, 0.0, 999999.0
R_CYTBD, (b0733 & b0734), "Cytochrome oxidase bd (ubiquinol-8: 2 protons)", 2.0 M_h_c + 0.5 M_o2_c + M_q8h2_c -> M_h2o_c + 2.0 M_h_e + M_q8_c, 0.0, 999999.0
R_EX_no3_e, , "Nitrate exchange", M_no3_e <-> M_no3_b, -999999.0, 999999.0
R_CYSTL, (b3008 | b1622), "Cystathionine b-lyase", M_cyst__L_c + M_h2o_c -> M_hcys__L_c + M_nh4_c + M_pyr_c, 0.0, 999999.0
R_SERASr, b0586, "(L-seryl)adenylate synthase", M_atp_c + M_h_c + M_ser__L_c <-> M_ppi_c + M_seramp_c, -999999.0, 999999.0
R_DHAD2, b3771, "Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)", M_23dhmp_c -> M_3mop_c + M_h2o_c, 0.0, 999999.0
R_AP5AH, b0049, "Ap5A hydrolase", M_ap5a_c + M_h2o_c -> M_adp_c + M_atp_c + 2.0 M_h_c, 0.0, 999999.0
R_UAG2E, b3786, "UDP-N-acetylglucosamine 2-epimerase", M_uacgam_c -> M_uacmam_c, 0.0, 999999.0
R_TKT2, (b2465 | b2935), "Transketolase", M_e4p_c + M_xu5p__D_c <-> M_f6p_c + M_g3p_c, -999999.0, 999999.0
R_G6PDA, b0678, "Glucosamine-6-phosphate deaminase", M_gam6p_c + M_h2o_c -> M_f6p_c + M_nh4_c, 0.0, 999999.0
R_ICDHyr, b1136, "Isocitrate dehydrogenase (NADP)", M_icit_c + M_nadp_c <-> M_akg_c + M_co2_c + M_nadph_c, -999999.0, 999999.0
R_ATPS4r, (b3739 & (b3737 & b3736 & b3738) & (b3735 & b3734 & b3732 & b3733 & b3731)), "ATP synthase (four protons for one ATP)", M_adp_c + 4.0 M_h_e + M_pi_c <-> M_atp_c + M_h2o_c + 3.0 M_h_c, -999999.0, 999999.0
R_TMPK, b0417, "Thiamine-phosphate kinase", M_atp_c + M_thmmp_c <-> M_adp_c + M_thmpp_c, -999999.0, 999999.0
R_EX_dmso_e, , "Dimethyl sulfoxide exchange", M_dmso_e <-> M_dmso_b, -999999.0, 999999.0
R_GALCTNt2r, b3691, "D-galactonate transport via proton symport, reversible", M_galctn__D_e + M_h_e <-> M_galctn__D_c + M_h_c, -999999.0, 999999.0
R_CBL1abc, (b1709 & b0158 & b3966 & b1711), "Cob(1)alamin transport via ABC system", M_atp_c + M_cbl1_e + M_h2o_c -> M_adp_c + M_cbl1_c + M_h_c + M_pi_c, 0.0, 999999.0
R_PYRt2, , "Pyruvate transport in via proton symport", M_h_e + M_pyr_e <-> M_h_c + M_pyr_c, -999999.0, 999999.0
R_TDPDRR, b2040, "DTDP-4-dehydrorhamnose reductase", M_dtdp4d6dm_c + M_h_c + M_nadph_c -> M_dtdprmn_c + M_nadp_c, 0.0, 999999.0
R_ADNK1, b0474, "Adenosine kinase", M_adn_c + M_atp_c -> M_adp_c + M_amp_c + M_h_c, 0.0, 999999.0
R_EX_acald_e, , "Acetaldehyde exchange", M_acald_e <-> M_acald_b, -999999.0, 999999.0
R_CYTDt2_copy1, (b2964 | b2393), "Cytidine transport in via proton symport", M_cytd_e + M_h_e -> M_cytd_c + M_h_c, 0.0, 999999.0
R_HCINNMt2r, b0353, "3-hydroxycinnamic acid transport via proton symport, reversible", M_3hcinnm_e + M_h_e <-> M_3hcinnm_c + M_h_c, -999999.0, 999999.0
R_L_LACD2, b3605, "L-Lactate dehydrogenase (ubiquinone)", M_lac__L_c + M_q8_c -> M_pyr_c + M_q8h2_c, 0.0, 999999.0
R_ASPTA, b0928, "Aspartate transaminase", M_akg_c + M_asp__L_c <-> M_glu__L_c + M_oaa_c, -999999.0, 999999.0
R_ADSL2r, b1131, "Adenylosuccinate lyase", M_25aics_c <-> M_aicar_c + M_fum_c, -999999.0, 999999.0
R_GALCTD, b3128, "Galactarate dehydratase", M_galct__D_c -> M_5dh4dglc_c + M_h2o_c, 0.0, 999999.0
R_GLYOX, b0212, "Hydroxyacylglutathione hydrolase", M_h2o_c + M_lgt__S_c -> M_gthrd_c + M_h_c + M_lac__D_c, 0.0, 999999.0
R_PEPT_EC, , "Ethanolamine phosphotransferase", M_cmp_c + M_h_c + 0.02 M_pe_EC_c <-> 0.02 M_12dgr_EC_c + M_cdpea_c, -999999.0, 999999.0
R_KAS14, (b1095 | b2323), "Beta-ketoacyl-ACP synthase", M_acACP_c + M_h_c + M_malACP_c -> M_ACP_c + M_actACP_c + M_co2_c, 0.0, 999999.0
R_UDCPDP, , "Undecaprenyl-diphosphatase", M_h2o_c + M_udcpdp_c -> M_h_c + M_pi_c + M_udcpp_c, 0.0, 999999.0
R_EX_fru_e, , "D-Fructose exchange", M_fru_e <-> M_fru_b, -999999.0, 999999.0
R_SERt2r, (b3116 | b2796), "L serine reversible transport via proton symport", M_h_e + M_ser__L_e <-> M_h_c + M_ser__L_c, -999999.0, 999999.0
R_ILEabc, (b3455 & b3460 & b3457 & b3454 & b3456), "L-isoleucine transport via ABC system", M_atp_c + M_h2o_c + M_ile__L_e -> M_adp_c + M_h_c + M_ile__L_c + M_pi_c, 0.0, 999999.0
R_IPPMIa, (b0072 & b0071), "3-isopropylmalate dehydratase", M_3c2hmp_c <-> M_2ippm_c + M_h2o_c, -999999.0, 999999.0
R_MALt2_2, b3528, "Malate transport via proton symport (2 H)", 2.0 M_h_e + M_mal__L_e -> 2.0 M_h_c + M_mal__L_c, 0.0, 999999.0
